City,Lat,Lng,Country,Temperature_max(F),Humidity(%),Cloudness(%),Wind speed(m/h),Date
ushuaia,-54.8,-68.3,AR,48.2,87.0,0.0,9.17,2020-11-03 02:07:16
pemberton,50.32,-122.8,CA,46.4,93.0,29.0,4.9,2020-11-03 02:07:33
bredasdorp,-34.53,20.04,ZA,64.4,88.0,98.0,11.41,2020-11-03 02:07:33
berezovyy,51.67,135.7,RU,31.89,91.0,100.0,2.35,2020-11-03 02:07:34
hobart,-42.88,147.33,AU,82.99,36.0,0.0,10.29,2020-11-03 02:05:52
upernavik,72.79,-56.15,GL,16.38,91.0,95.0,7.49,2020-11-03 02:07:34
jieshi,22.81,115.83,CN,73.0,68.0,61.0,3.0,2020-11-03 02:07:34
hilo,19.73,-155.09,US,82.4,69.0,90.0,6.93,2020-11-03 02:02:42
puerto ayora,-0.74,-90.35,EC,69.01,96.0,96.0,5.99,2020-11-03 02:07:35
saint-philippe,-21.36,55.77,RE,68.0,60.0,75.0,6.93,2020-11-03 02:07:35
mae hong son,19.3,97.97,TH,75.2,94.0,75.0,0.43,2020-11-03 02:07:35
townsville,-19.25,146.8,AU,87.8,55.0,20.0,20.8,2020-11-03 02:07:35
ploemeur,47.73,-3.43,FR,52.0,87.0,73.0,18.34,2020-11-03 02:07:35
rikitea,-23.12,-134.97,PF,71.87,80.0,10.0,17.49,2020-11-03 02:07:36
elizabeth city,36.29,-76.25,US,44.6,52.0,1.0,4.7,2020-11-03 02:07:36
mehamn,71.04,27.85,NO,42.31,85.0,74.0,19.06,2020-11-03 02:07:36
qandala,11.47,49.87,SO,77.83,77.0,51.0,7.85,2020-11-03 02:07:36
aguimes,27.91,-15.45,ES,71.6,68.0,75.0,16.11,2020-11-03 02:07:36
necochea,-38.55,-58.74,AR,59.0,72.0,0.0,8.99,2020-11-03 02:07:36
new norfolk,-42.78,147.06,AU,82.99,17.0,83.0,5.01,2020-11-03 02:07:37
xuanhua,40.61,115.04,CN,39.18,55.0,0.0,12.93,2020-11-03 02:07:37
mataura,-46.19,168.86,NZ,67.73,37.0,0.0,4.76,2020-11-03 02:07:37
port alfred,-33.59,26.89,ZA,65.5,86.0,2.0,17.74,2020-11-03 02:07:37
guanica,17.97,-66.91,PR,77.0,92.0,100.0,13.02,2020-11-03 02:02:55
tiksi,71.69,128.87,RU,4.59,93.0,100.0,2.51,2020-11-03 02:07:37
tuktoyaktuk,69.45,-133.04,CA,5.0,84.0,75.0,10.29,2020-11-03 02:07:38
yellowknife,62.46,-114.35,CA,10.4,85.0,90.0,10.29,2020-11-03 02:07:38
punta arenas,-53.15,-70.92,CL,50.0,53.0,0.0,4.7,2020-11-03 02:07:38
vardo,70.37,31.11,NO,45.84,80.0,96.0,33.51,2020-11-03 02:03:07
norman wells,65.28,-126.83,CA,8.6,92.0,90.0,2.24,2020-11-03 02:07:38
key west,24.56,-81.78,US,77.0,65.0,75.0,19.46,2020-11-03 02:07:11
esperance,-33.87,121.9,AU,59.0,100.0,75.0,17.22,2020-11-03 02:07:39
airai,-8.93,125.41,TL,79.61,36.0,92.0,4.97,2020-11-03 02:07:39
kavaratti,10.57,72.64,IN,82.17,70.0,0.0,5.77,2020-11-03 02:07:39
ulaangom,49.98,92.07,MN,27.95,94.0,99.0,1.34,2020-11-03 02:07:39
sao filipe,14.9,-24.5,CV,80.46,57.0,88.0,5.08,2020-11-03 02:07:39
sakaiminato,35.55,133.23,JP,59.0,82.0,40.0,8.05,2020-11-03 02:07:40
mahebourg,-20.41,57.7,MU,71.6,73.0,75.0,10.29,2020-11-03 02:07:40
abakaliki,6.32,8.12,NG,77.0,94.0,20.0,3.29,2020-11-03 02:07:40
ilulissat,69.22,-51.1,GL,19.4,57.0,100.0,27.51,2020-11-03 02:06:06
coquimbo,-29.95,-71.34,CL,53.6,87.0,9.0,4.7,2020-11-03 02:07:20
buchanan,5.88,-10.05,LR,77.22,88.0,0.0,4.16,2020-11-03 02:07:40
turukhansk,65.82,87.98,RU,15.85,97.0,100.0,9.93,2020-11-03 02:07:41
la ronge,55.1,-105.28,CA,39.2,69.0,0.0,2.24,2020-11-03 02:03:06
bluff,-46.6,168.33,NZ,52.97,67.0,0.0,5.03,2020-11-03 02:07:41
paracuru,-3.41,-39.03,BR,81.0,77.0,0.0,15.99,2020-11-03 02:07:41
northam,51.03,-4.22,GB,46.0,92.0,100.0,1.99,2020-11-03 02:02:13
srednekolymsk,67.45,153.68,RU,-5.15,88.0,0.0,6.42,2020-11-03 02:07:41
san patricio,28.02,-97.52,US,66.0,88.0,1.0,3.36,2020-11-03 02:07:42
busselton,-33.65,115.33,AU,63.0,79.0,68.0,5.01,2020-11-03 02:07:42
pitimbu,-7.47,-34.81,BR,78.8,83.0,20.0,6.93,2020-11-03 02:07:42
banda aceh,5.56,95.32,ID,82.83,72.0,61.0,4.41,2020-11-03 02:07:42
lagoa,39.05,-27.98,PT,62.26,63.0,100.0,13.65,2020-11-03 02:07:42
san quintin,30.48,-115.95,MX,65.55,81.0,0.0,8.19,2020-11-03 02:07:43
kapaa,22.08,-159.32,US,82.4,74.0,20.0,5.82,2020-11-03 02:07:43
chuy,-33.7,-53.46,UY,56.39,92.0,0.0,6.31,2020-11-03 02:07:43
carnarvon,-24.87,113.63,AU,73.4,43.0,1.0,18.34,2020-11-03 02:07:43
hithadhoo,-0.6,73.08,MV,83.25,71.0,100.0,7.96,2020-11-03 02:07:43
tuatapere,-46.13,167.68,NZ,58.33,56.0,0.0,6.29,2020-11-03 02:07:44
saskylakh,71.92,114.08,RU,9.45,95.0,100.0,8.75,2020-11-03 02:07:44
sinnamary,5.38,-52.95,GF,77.63,87.0,84.0,9.01,2020-11-03 02:07:44
thompson,55.74,-97.86,CA,21.2,92.0,90.0,9.17,2020-11-03 02:07:44
cidreira,-30.18,-50.21,BR,62.2,76.0,4.0,6.55,2020-11-03 02:07:44
pisco,-13.7,-76.22,PE,64.99,82.0,90.0,11.41,2020-11-03 02:07:44
huarmey,-10.07,-78.15,PE,60.62,84.0,84.0,5.73,2020-11-03 02:07:45
albany,42.6,-73.97,US,36.0,68.0,98.0,5.57,2020-11-03 02:07:45
lake charles,30.21,-93.2,US,57.2,47.0,5.0,5.82,2020-11-03 02:07:45
olot,42.18,2.49,ES,55.0,95.0,1.0,1.99,2020-11-03 02:07:45
hamilton,39.18,-84.53,US,42.01,35.0,75.0,8.05,2020-11-03 02:00:11
dikson,73.51,80.55,RU,14.11,94.0,99.0,11.01,2020-11-03 02:07:45
barranca,-10.75,-77.77,PE,59.38,87.0,48.0,3.31,2020-11-03 02:07:46
cherskiy,68.75,161.3,RU,-4.0,90.0,100.0,9.51,2020-11-03 02:07:46
canmore,51.08,-115.35,CA,59.0,29.0,92.0,10.29,2020-11-03 02:07:46
leningradskiy,69.38,178.42,RU,16.48,91.0,100.0,20.76,2020-11-03 02:07:46
yulara,-25.24,130.99,AU,95.0,12.0,0.0,13.87,2020-11-03 02:07:46
adre,13.47,22.2,TD,74.46,29.0,7.0,16.22,2020-11-03 02:07:46
ballina,-28.87,153.57,AU,73.99,60.0,75.0,18.34,2020-11-03 02:07:47
